"pca1" "pca2" "population"
-0.0338 0.0133 "ASW"
-0.0247 0.0099 "ASW"
-0.0302 0.0116 "ASW"
-0.0324 0.0129 "ASW"
-0.0336 0.014 "ASW"
-0.0358 0.0127 "ASW"
-0.032 0.0125 "ASW"
-0.0361 0.0137 "ASW"
-0.0307 0.0133 "ASW"
-0.0335 0.0132 "ASW"
-0.0377 0.0144 "ASW"
-0.0389 0.0147 "ASW"
-0.0378 0.0139 "ASW"
-0.033 0.0126 "ASW"
-0.0325 0.0135 "ASW"
-0.0307 0.0119 "ASW"
-0.0315 0.0113 "ASW"
0.0039 0.0019 "TSI"
0.0039 0.0018 "TSI"
0.0039 0.0039 "TSI"
0.0038 0.0023 "TSI"
0.0036 0.0035 "TSI"
0.0033 0.0027 "TSI"
0.0033 0.0029 "TSI"
0.0035 0.0024 "TSI"
0.0038 0.0023 "TSI"
0.0039 0.0024 "TSI"
0.0038 0.0026 "TSI"
0.0035 0.003 "TSI"
0.0036 0.0032 "TSI"
0.0035 0.0022 "TSI"
0.0038 0.0031 "TSI"
0.0036 0.002 "TSI"
0.0042 0.003 "TSI"
0.0034 0.0036 "TSI"
0.0041 0.0031 "TSI"
0.0036 0.0028 "TSI"
0.004 0.0024 "TSI"
0.0035 0.0026 "TSI"
0.0037 0.0023 "TSI"
0.004 0.0032 "TSI"
0.0037 0.0029 "TSI"
0.0033 0.0025 "TSI"
0.0035 0.0035 "TSI"
0.0044 0.0032 "TSI"
0.0039 0.0026 "TSI"
0.0035 0.002 "TSI"
0.0038 0.003 "TSI"
0.0034 0.0022 "TSI"
0.0045 0.0031 "TSI"
0.0036 0.0024 "TSI"
0.0041 0.0035 "TSI"
0.0034 0.0029 "TSI"
0.0037 0.0034 "TSI"
0.0038 0.0027 "TSI"
0.0034 0.0022 "TSI"
0.0038 0.0032 "TSI"
0.0039 0.004 "TSI"
0.0035 0.0026 "TSI"
0.0034 0.0017 "TSI"
0.0036 0.0028 "TSI"
0.0039 0.0022 "TSI"
0.0039 0.0026 "TSI"
0.004 0.0031 "TSI"
0.0034 0.0034 "TSI"
0.0039 0.0029 "TSI"
0.0037 0.0027 "TSI"
0.0038 0.0028 "TSI"
0.0035 0.0031 "TSI"
0.0037 0.0029 "TSI"
0.0036 0.0027 "TSI"
0.0038 0.0024 "TSI"
0.0032 0.0035 "TSI"
0.0038 0.0016 "TSI"
0.0039 0.0025 "TSI"
0.0037 0.0027 "TSI"
0.0039 0.0035 "TSI"
0.0033 0.0035 "TSI"
0.0031 0.0021 "TSI"
0.0039 0.0033 "TSI"
0.004 0.0037 "TSI"
0.0031 0.0021 "TSI"
0.0038 0.003 "TSI"
0.0041 0.0027 "TSI"
0.0044 0.0037 "TSI"
0.0043 0.0037 "TSI"
0.004 0.0032 "TSI"
0.0035 0.0024 "TSI"
0.0039 0.0037 "TSI"
0.0034 0.003 "TSI"
0.0035 0.0037 "TSI"
0.0039 0.0029 "TSI"
0.0037 0.0021 "TSI"
0.0035 0.0023 "TSI"
0.0033 0.0021 "TSI"
0.0037 0.0034 "TSI"
0.0036 0.0039 "TSI"
0.0039 0.0029 "TSI"
0.0035 0.0032 "TSI"
0.0038 0.0037 "TSI"
0.0036 0.0032 "TSI"
0.0042 0.0021 "TSI"
0.0037 0.0014 "TSI"
0.0042 0.0029 "TSI"
0.0038 0.0031 "TSI"
-0.0048 -0.0138 "GIH"
-0.0041 -0.0131 "GIH"
-0.0056 -0.0156 "GIH"
-0.0059 -0.0149 "GIH"
-0.003 -0.012 "GIH"
-0.0053 -0.0159 "GIH"
-0.0041 -0.0139 "GIH"
-0.0054 -0.0162 "GIH"
-0.004 -0.0134 "GIH"
-0.0055 -0.014 "GIH"
-0.0025 -0.0098 "GIH"
-0.0055 -0.0154 "GIH"
-0.0058 -0.0163 "GIH"
-0.0023 -0.0099 "GIH"
-0.0043 -0.013 "GIH"
-0.0055 -0.0156 "GIH"
-0.0025 -0.0094 "GIH"
-0.0059 -0.0156 "GIH"
-0.0032 -0.0105 "GIH"
-0.0037 -0.0133 "GIH"
-0.0049 -0.0134 "GIH"
-0.0055 -0.0157 "GIH"
-0.0051 -0.0146 "GIH"
-0.0057 -0.0148 "GIH"
-0.0044 -0.0137 "GIH"
-0.003 -0.0097 "GIH"
-0.004 -0.013 "GIH"
-0.0045 -0.0136 "GIH"
-0.0064 -0.0162 "GIH"
-0.0035 -0.0117 "GIH"
-0.0044 -0.0138 "GIH"
-0.0054 -0.0153 "GIH"
-0.0053 -0.0144 "GIH"
-0.0041 -0.013 "GIH"
-0.0037 -0.0121 "GIH"
-0.0059 -0.0157 "GIH"
-0.004 -0.0122 "GIH"
-0.004 -0.0133 "GIH"
-0.0059 -0.0164 "GIH"
-0.0062 -0.018 "GIH"
-0.0035 -0.0119 "GIH"
-0.0052 -0.0152 "GIH"
-0.0039 -0.0127 "GIH"
-0.0048 -0.0143 "GIH"
-0.0053 -0.0161 "GIH"
-0.0045 -0.0138 "GIH"
-0.0032 -0.0107 "GIH"
-0.0061 -0.0162 "GIH"
-0.0038 -0.0124 "GIH"
-0.0065 -0.0168 "GIH"
-0.0023 -0.0105 "GIH"
-0.0033 -0.0105 "GIH"
-0.0057 -0.0152 "GIH"
-0.0051 -0.0153 "GIH"
-0.0052 -0.015 "GIH"
-0.0055 -0.0151 "GIH"
-0.0065 -0.0153 "GIH"
-0.0052 -0.0147 "GIH"
-0.0049 -0.0141 "GIH"
-0.0058 -0.0152 "GIH"
-0.0048 -0.0147 "GIH"
-0.0055 -0.0159 "GIH"
-0.0049 -0.0143 "GIH"
-0.0059 -0.0148 "GIH"
-0.0058 -0.0151 "GIH"
-0.0055 -0.0152 "GIH"
-0.0059 -0.0154 "GIH"
-0.0058 -0.0156 "GIH"
-0.0055 -0.0151 "GIH"
-0.0052 -0.0157 "GIH"
-0.0054 -0.014 "GIH"
-0.0034 -0.0117 "GIH"
-0.0054 -0.015 "GIH"
-0.0048 -0.016 "GIH"
-0.0057 -0.0159 "GIH"
-0.0059 -0.0161 "GIH"
-0.0053 -0.0151 "GIH"
-0.0051 -0.0156 "GIH"
-0.005 -0.0162 "GIH"
-0.0056 -0.0158 "GIH"
-0.0057 -0.0151 "GIH"
-0.0057 -0.0148 "GIH"
-0.0055 -0.0156 "GIH"
-0.0049 -0.0154 "GIH"
-0.0057 -0.0155 "GIH"
-0.0058 -0.0156 "GIH"
-0.0053 -0.0157 "GIH"
-0.0062 -0.0154 "GIH"
-0.0357 0.0131 "MKK"
-0.0352 0.0123 "MKK"
-0.0336 0.0122 "MKK"
-0.0317 0.0098 "MKK"
-0.0321 0.0106 "MKK"
-0.0331 0.0111 "MKK"
-0.0337 0.0113 "MKK"
-0.035 0.0119 "MKK"
-0.0342 0.0115 "MKK"
-0.0333 0.0119 "MKK"
-0.034 0.0117 "MKK"
-0.0331 0.011 "MKK"
-0.0337 0.0117 "MKK"
-0.0344 0.012 "MKK"
-0.0336 0.0118 "MKK"
-0.0341 0.0124 "MKK"
-0.0338 0.0119 "MKK"
-0.0338 0.0122 "MKK"
-0.0338 0.0127 "MKK"
-0.0327 0.0115 "MKK"
-0.0328 0.0104 "MKK"
-0.0341 0.0119 "MKK"
-0.0351 0.0127 "MKK"
-0.034 0.0118 "MKK"
-0.0353 0.0125 "MKK"
-0.034 0.0116 "MKK"
-0.0345 0.0125 "MKK"
-0.0342 0.0125 "MKK"
-0.0341 0.0123 "MKK"
-0.0332 0.0113 "MKK"
-0.0326 0.0113 "MKK"
-0.0343 0.0118 "MKK"
-0.0339 0.0121 "MKK"
-0.0333 0.0114 "MKK"
-0.0333 0.0128 "MKK"
-0.0333 0.0124 "MKK"
-0.0341 0.0126 "MKK"
-0.0333 0.0117 "MKK"
-0.033 0.012 "MKK"
-0.0349 0.0123 "MKK"
-0.0343 0.0115 "MKK"
-0.0345 0.0112 "MKK"
-0.0348 0.0119 "MKK"
-0.0353 0.0127 "MKK"
-0.0329 0.0119 "MKK"
-0.0344 0.0121 "MKK"
-0.036 0.0131 "MKK"
-0.034 0.0117 "MKK"
-0.0345 0.012 "MKK"
-0.0327 0.0112 "MKK"
-0.0343 0.0119 "MKK"
-0.0339 0.0126 "MKK"
-0.0337 0.0125 "MKK"
-0.0332 0.0125 "MKK"
-0.034 0.0124 "MKK"
-0.0337 0.0131 "MKK"
-0.0339 0.0129 "MKK"
-0.034 0.0123 "MKK"
-0.0337 0.0126 "MKK"
-0.0334 0.0119 "MKK"
-0.0329 0.0116 "MKK"
-0.0326 0.0117 "MKK"
-0.0333 0.0114 "MKK"
-0.033 0.0117 "MKK"
-0.0334 0.0114 "MKK"
-0.0327 0.0114 "MKK"
-0.0329 0.0121 "MKK"
-0.0327 0.0117 "MKK"
-0.0334 0.0116 "MKK"
-0.0331 0.0114 "MKK"
-0.0284 0.0086 "MKK"
-0.035 0.0131 "MKK"
-0.0343 0.013 "MKK"
-0.0333 0.0117 "MKK"
-0.0347 0.0121 "MKK"
-0.0341 0.0121 "MKK"
-0.0341 0.0114 "MKK"
-0.0332 0.0114 "MKK"
-0.0332 0.011 "MKK"
-0.0325 0.011 "MKK"
-0.0343 0.0118 "MKK"
-0.0331 0.0112 "MKK"
-0.0333 0.0114 "MKK"
-0.034 0.0109 "MKK"
-0.0343 0.0124 "MKK"
-0.035 0.0126 "MKK"
-0.0349 0.0118 "MKK"
-0.0348 0.0119 "MKK"
-0.0358 0.0127 "MKK"
-0.0354 0.0132 "MKK"
-0.0344 0.0119 "MKK"
-0.0342 0.0116 "MKK"
-0.0339 0.0115 "MKK"
-0.0348 0.0122 "MKK"
-0.0338 0.0117 "MKK"
-0.034 0.0122 "MKK"
-0.0332 0.0121 "MKK"
-0.0324 0.0116 "MKK"
-0.0338 0.0118 "MKK"
-0.0338 0.0126 "MKK"
-0.033 0.0119 "MKK"
-0.0308 0.01 "MKK"
-0.0337 0.0118 "MKK"
-0.0319 0.0108 "MKK"
-0.0352 0.012 "MKK"
-0.0333 0.0118 "MKK"
-0.034 0.0123 "MKK"
-0.0342 0.0121 "MKK"
-0.0351 0.0117 "MKK"
-0.0336 0.0118 "MKK"
-0.0344 0.0135 "MKK"
-0.0335 0.013 "MKK"
-0.0331 0.0112 "MKK"
-0.0331 0.0113 "MKK"
-0.0308 0.0096 "MKK"
-0.0346 0.0129 "MKK"
-0.0366 0.0133 "MKK"
-0.0383 0.0129 "MKK"
-0.0366 0.0126 "MKK"
-0.0338 0.0121 "MKK"
-0.0366 0.0136 "MKK"
-0.033 0.0105 "MKK"
-0.0331 0.0118 "MKK"
-0.0327 0.0108 "MKK"
-0.0334 0.0117 "MKK"
-0.0326 0.01 "MKK"
-0.0336 0.0127 "MKK"
-0.0343 0.012 "MKK"
-0.0334 0.0124 "MKK"
-0.0335 0.0119 "MKK"
-0.0337 0.0129 "MKK"
-0.0329 0.0108 "MKK"
-0.0335 0.0124 "MKK"
-0.034 0.0117 "MKK"
-0.0343 0.0127 "MKK"
-0.0309 0.01 "MKK"
-0.035 0.0119 "MKK"
-0.0341 0.0128 "MKK"
-0.035 0.0124 "MKK"
-0.0343 0.0124 "MKK"
-0.0334 0.0116 "MKK"
-0.0331 0.011 "MKK"
-0.0343 0.011 "MKK"
-0.034 0.0131 "MKK"
-0.0343 0.0122 "MKK"
-0.0342 0.0126 "MKK"
-0.034 0.0126 "MKK"
-0.0348 0.0123 "MKK"
-0.0336 0.0127 "MKK"
-0.035 0.0126 "MKK"
-0.034 0.0122 "MKK"
-0.0383 0.015 "MKK"
-0.0337 0.012 "MKK"
-0.0371 0.0127 "MKK"
-0.0336 0.011 "MKK"
-0.0357 0.0132 "MKK"
-0.0296 0.0092 "MKK"
-0.0328 0.0109 "MKK"
-0.0355 0.0128 "MKK"
-0.031 0.0096 "MKK"
-0.0332 0.0117 "MKK"
-0.0337 0.0122 "MKK"
-0.0337 0.0117 "MKK"
-0.036 0.0127 "MKK"
-0.0336 0.011 "MKK"
-0.0333 0.0125 "MKK"
-0.0375 0.0137 "MKK"
-0.0377 0.0136 "MKK"
-0.0333 0.0127 "MKK"
-0.0322 0.011 "MKK"
-0.0384 0.014 "MKK"
